DOI	year	author
10.1145/3343413.3378005	2020	Makri, Stephann
10.1145/3343413.3377995	2020	Arguello, Jaime
10.1145/3343413.3377995	2020	Capra, Robert
10.1145/3343413.3377994	2020	Huurdeman, Hugo C.
10.1145/3343413.3377994	2020	Piccoli, Chiara
10.1145/3343413.3377993	2020	Lopatovska, Irene
10.1145/3343413.3377988	2020	Sequiera, Royal
10.1145/3343413.3377988	2020	Tan, Luchen
10.1145/3343413.3377988	2020	Zhang, Yinan
10.1145/3343413.3377988	2020	Lin, Jimmy
10.1145/3343413.3377983	2020	McKay, Dana
10.1145/3343413.3377983	2020	Makri, Stephann
10.1145/3343413.3377983	2020	Chang, Shanton
10.1145/3343413.3377983	2020	Buchanan, George
10.1145/3343413.3377966	2020	Teixeira Lopes, Carla
10.1145/3343413.3377966	2020	Ramos, Edgar
10.1145/3343413.3377961	2020	Ghenai, Amira
10.1145/3343413.3377961	2020	Smucker, Mark D.
10.1145/3343413.3377961	2020	Clarke, Charles L.A.
10.1145/3343413.3377954	2020	Chavula, Catherine
10.1145/3343413.3377954	2020	Suleman, Hussein
10.1145/3343413.3377956	2020	Moraes, Felipe
10.1145/3343413.3377956	2020	Yang, Jie
10.1145/3343413.3377956	2020	Zhang, Rongting
10.1145/3343413.3377956	2020	Murdock, Vanessa
10.1145/3343413.3377955	2020	Vakkari, Pertti
10.1145/3343413.3377959	2020	Azzopardi, Leif
10.1145/3343413.3377959	2020	White, Ryen W.
10.1145/3343413.3377959	2020	Thomas, Paul
10.1145/3343413.3377959	2020	Craswell, Nick
10.1145/3343413.3377964	2020	Nouri, Elnaz
10.1145/3343413.3377964	2020	Sim, Robert
10.1145/3343413.3377964	2020	Fourney, Adam
10.1145/3343413.3377964	2020	White, Ryen W.
10.1145/3343413.3377976	2020	Liu, Jiqun
10.1145/3343413.3377976	2020	Sarkar, Shawon
10.1145/3343413.3377976	2020	Shah, Chirag
10.1145/3343413.3377969	2020	Koolen, Marijn
10.1145/3343413.3377969	2020	Kumpulainen, Sanna
10.1145/3343413.3377969	2020	Melgar-Estrada, Liliana
10.1145/3343413.3377975	2020	Mckay, Dana
10.1145/3343413.3377975	2020	Makri, Stephann
10.1145/3343413.3377975	2020	Gutierrez-Lopez, Marisela
10.1145/3343413.3377975	2020	MacFarlane, Andrew
10.1145/3343413.3377975	2020	Missaoui, Sondess
10.1145/3343413.3377975	2020	Porlezza, Colin
10.1145/3343413.3377975	2020	Cooper, Glenda
10.1145/3343413.3377970	2020	Li, Yuan
10.1145/3343413.3377970	2020	Capra, Rob
10.1145/3343413.3377970	2020	Zhang, Yinglong
10.1145/3343413.3377977	2020	Jahanbakhsh, Farnaz
10.1145/3343413.3377977	2020	Awadallah, Ahmed Hassan
10.1145/3343413.3377977	2020	Dumais, Susan T.
10.1145/3343413.3377977	2020	Xu, Xuhai
10.1145/3343413.3377981	2020	Fell, Lauren
